id_Anel1,ID_Anel_Anel1,ID_Frag_1_Anel1,ID_Frag_2_Anel1,ID_Frag_3_Anel1,ID_Ponte,id_Anel2,ID_Anel_Anel2,ID_Frag_1_Anel2,ID_Frag_2_Anel2,ID_Frag_3_Anel2,smiles,lambda_max_previsto,incerteza_std
6986,35,22,16,12,3,6349,32,17,5,5,O=C(O)CN(CC(=O)O)CC1NCC(O)(C=CC(=O)CC(=O)C=CS2(C(F)(F)F)CC(Cl)N(Cl)C2)C1S(=O)(=O)O,494.2358111412508,15.943124915909339
6249,32,11,7,19,4,8507,43,8,10,13,COC1NC(C(=O)[O][Na])C(C=CN2:C:C:C(NC(C)=O):C(S(=O)(=O)[O][Na]):N:2N=O)[SH]1N,494.223290148657,15.82570844938535
6506,33,10,26,23,5,4481,23,7,5,9,CCNC1(N=C2CC(OC)C(Cl)C2N(CC)CC)CSC(=O)C1S(=O)(=O)[O][Na],494.2169454406312,25.087564026271103
6359,32,24,19,14,9,5056,26,23,23,7,CCNC1CC(OC)S(NCC)(C2C(C(=O)O)NC(C(=O)[O][Na])[SH]2C(C)C)C1,494.2037462282019,23.94890375941853
7579,38,5,8,6,20,6683,34,10,6,8,CC(C=CC1CC(N=O)C([N+](=O)O)N1S(=O)(=O)[O][Na])=CC1([N+](=O)O)CSC(Cl)C1N=O,494.1747177111092,20.706189990123715
2728,14,14,26,16,15,6882,35,16,4,18,CCOC(=O)C1CC(CC=CC=CC2:C:C(CN(CC(=O)O)CC(=O)O):S(=O):C:C:2C(=O)O)C(CN(CC(=O)O)CC(=O)O)N1CC,494.11009485157336,32.66957754382873
8677,44,22,1,18,6,5764,29,9,17,21,CCOC(=O)C1:C:C(N(C)C):S:N(S(=O)(=O)O):C:1C=[SH]1(N(CC)CC)NCC(C(F)(F)F)C1Br,494.0827082727589,16.130381305671392
8474,43,2,2,26,2,6831,35,17,2,16,O=C(O)CN(CC(=O)O)CC1CNC([SH](=O)=O)C1(C(=O)C=CC1:N:N:C([SH](=O)=O):C([SH](=O)=O):C:1=O)C(F)(F)F,494.06924147642746,24.521715095074125
901,5,1,24,8,4,2681,14,1,25,7,COS1:C:C:C:C(C=CC2:C:C(N=O):C:C(C(C)C):S:2N(C)C)(N(C)C):C:1=N,494.0687733244493,31.33988690776652
7463,38,21,13,18,13,1884,10,18,22,16,CCOC(=O)C1CC(C=CC=CC2(C(=O)OCC):C:C(CN(CC(=O)O)CC(=O)O):N:C(S(=O)(=O)O):C:2)C(Br)[SH]1NC(C)=O,494.03806110136327,33.89246291046603
6343,32,22,18,20,10,9580,48,10,24,25,CCOC(=O)C1NC([O][Na])C(=[SH]2(S(=O)(=O)[O][Na])CC(=N)SC2C(C)C)[SH]1S(=O)(=O)O,494.03228147693034,17.59644165418009
4591,23,10,10,26,13,211,2,19,24,25,CC(C)C1:C:C:C(C=CC=CC2CC(=O)C(S(=O)(=O)[O][Na])C2S(=O)(=O)[O][Na])(C(=O)[O][Na]):C:C:1=N,494.0174336780119,23.107914001623843
7453,38,22,17,14,19,4195,21,18,24,20,CCOC(=O)C1:C(C(C)C):S([O][Na]):C:C:S:1C(=N)C1(C(=O)O)CC[SH](C(F)(F)F)C1S(=O)(=O)O,493.9825050022579,31.019123141170972
836,5,13,16,15,19,8952,45,25,1,13,CC(=O)NC1:C:C(N(C)C):S:S(=N)(C(=N)C2:C:C(=C(C#N)C#N):C(CN(CC(=O)O)CC(=O)O):C(NC(C)=O):S:2):C:1,493.9014317954249,17.882553483973645
6663,34,17,25,16,6,4064,21,10,12,18,CCOC(=O)S1:C:C:S(=CC2CN(C(F)(F)F)C(=N)C2CN(CC(=O)O)CC(=O)O)(S(=O)(=O)[O][Na]):C:C:1O,493.8461148158866,32.06588746631715
